Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
UORED,Detection,Group_A,Random Forest,0.8092948717948718,0.7459807073954984,0.8807725013082155
UORED,Detection,Group_A,SVM (RBF),0.8656135531135531,0.8014411529223379,0.9321371546646271
UORED,Detection,Group_A,TabNet,0.8745421245421245,0.8141520943472956,0.9025142478095773
UORED,Detection,Group_A,FT-Transformer,0.875,0.8148148148148148,0.8726953182653732
UORED,Detection,Group_A,TabNet-ResNet1D,0.8436355311355311,0.7746534653465347,0.8808221883427927
UORED,Detection,Group_B,Random Forest,0.9901098901098901,0.9900110987791343,1.0
UORED,Detection,Group_B,SVM (RBF),0.95,0.9090909090909091,1.0
UORED,Detection,Group_B,TabNet,1.0,1.0,1.0
UORED,Detection,Group_B,FT-Transformer,1.0,1.0,1.0
UORED,Detection,Group_B,TabNet-ResNet1D,0.9010989010989011,0.8348623853211009,1.0
UORED,Detection,Group_C,Random Forest,0.6991758241758241,0.6114221724524076,0.8114244958338366
UORED,Detection,Group_C,SVM (RBF),0.7802197802197802,0.704516129032258,0.7458753471802922
UORED,Detection,Group_C,TabNet,0.8743131868131868,0.8557993730407524,0.8125075473976573
UORED,Detection,Group_C,FT-Transformer,0.6909340659340659,0.6033149171270719,0.790140834440285
UORED,Detection,Group_C,TabNet-ResNet1D,0.7184065934065934,0.63121387283237,0.7603550295857988
UORED,Detection,Group_D,Random Forest,0.8804945054945055,0.8209500609013398,0.9311337700760778
UORED,Detection,Group_D,SVM (RBF),0.875,0.8,0.9369641347663327
UORED,Detection,Group_D,TabNet,0.9375,0.8888888888888888,0.9831919454172201
UORED,Detection,Group_D,FT-Transformer,0.75,0.6666666666666666,0.84375
UORED,Detection,Group_D,TabNet-ResNet1D,0.875,0.8,0.9232335315783118
UORED,Detection,Group_E,Random Forest,0.9388736263736264,0.8910648714810282,0.9999999999999999
UORED,Detection,Group_E,SVM (RBF),0.9375,0.8888888888888888,1.0
UORED,Detection,Group_E,TabNet,1.0,1.0,1.0
UORED,Detection,Group_E,FT-Transformer,0.9800824175824177,0.9616908850726552,1.0
UORED,Detection,Group_E,TabNet-ResNet1D,0.9251373626373627,0.8697729988052568,1.0
UORED,Diagnosis,Group_A,Random Forest,0.5291895604395604,0.4794020647174988,0.7700591206281944
UORED,Diagnosis,Group_A,SVM (RBF),0.3624084249084249,0.2764303412176852,0.7967789884979838
UORED,Diagnosis,Group_A,TabNet,0.4610805860805861,0.3786258802838392,0.7040888614917266
UORED,Diagnosis,Group_A,FT-Transformer,0.4464285714285714,0.3791163993676105,0.757806266317844
UORED,Diagnosis,Group_A,TabNet-ResNet1D,0.5412087912087912,0.46165363098684986,0.6842666412059073
UORED,Diagnosis,Group_B,Random Forest,0.87010989010989,0.8278965172076427,0.9533850553503976
UORED,Diagnosis,Group_B,SVM (RBF),0.7472527472527473,0.7271078076664217,0.9111409300758414
UORED,Diagnosis,Group_B,TabNet,0.7,0.6076190476190476,0.8078532625447249
UORED,Diagnosis,Group_B,FT-Transformer,0.6208791208791208,0.5509352152673752,0.9187665251063392
UORED,Diagnosis,Group_B,TabNet-ResNet1D,0.7769230769230769,0.7472441511781704,0.9507792630024244
UORED,Diagnosis,Group_C,Random Forest,0.45,0.3674828504948943,0.8894608139113632
UORED,Diagnosis,Group_C,SVM (RBF),0.45989010989010987,0.4158353265368674,0.8657841746165922
UORED,Diagnosis,Group_C,TabNet,0.5972527472527472,0.5571396207924062,0.7467132592682042
UORED,Diagnosis,Group_C,FT-Transformer,0.3038461538461538,0.2531362689983704,0.6525569073783359
UORED,Diagnosis,Group_C,TabNet-ResNet1D,0.40384615384615385,0.38060606060606056,0.7961152789518174
UORED,Diagnosis,Group_D,Random Forest,0.8043956043956044,0.7837840459155868,0.9039036650163024
UORED,Diagnosis,Group_D,SVM (RBF),0.6362637362637363,0.6226230841837188,0.9265950670208911
UORED,Diagnosis,Group_D,TabNet,0.6681318681318682,0.6537237769799733,0.8903062733969328
UORED,Diagnosis,Group_D,FT-Transformer,0.5395604395604396,0.5021334772441086,0.8477608380630357
UORED,Diagnosis,Group_D,TabNet-ResNet1D,0.6824175824175824,0.6348178422528614,0.8666806545103249
UORED,Diagnosis,Group_E,Random Forest,0.7,0.6377777777777778,0.9321688201907982
UORED,Diagnosis,Group_E,SVM (RBF),0.5901098901098901,0.5468774562906232,0.9404786559594251
UORED,Diagnosis,Group_E,TabNet,0.7857142857142858,0.7081481481481482,0.8621325926820432
UORED,Diagnosis,Group_E,FT-Transformer,0.7329670329670329,0.677932784080644,0.899614780823572
UORED,Diagnosis,Group_E,TabNet-ResNet1D,0.6,0.5515389971130513,0.8978203115565752
CWRU_12k,Detection,Load_0HP,Random Forest,0.5,0.0,0.9666666666666667
CWRU_12k,Detection,Load_0HP,SVM (RBF),0.5,0.0,0.496875
CWRU_12k,Detection,Load_0HP,TabNet,0.78,0.5454545454545454,0.9090833333333335
CWRU_12k,Detection,Load_0HP,FT-Transformer,0.5116666666666666,0.047619047619047616,0.9438749999999999
CWRU_12k,Detection,Load_0HP,TabNet-ResNet1D,0.5,0.0,0.8495833333333335
CWRU_12k,Detection,Load_1HP,Random Forest,0.65859375,0.42028985507246375,0.9375
CWRU_12k,Detection,Load_1HP,SVM (RBF),0.5,0.0,0.530341796875
CWRU_12k,Detection,Load_1HP,TabNet,0.9375,0.6666666666666666,0.9375
CWRU_12k,Detection,Load_1HP,FT-Transformer,0.9359375,0.6611570247933884,0.9343750000000001
