Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (TABNET),0.44999999999999996,0.40804559003088414,0.8889285714285715
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Random Forest,0.7875,0.7336182336182335,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,SVM (RBF),0.65,0.5642857142857143,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Multi-Head DL (MLP),0.3,0.2414252414252414,0.75625
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Multi-Head DL (TABNET),0.5,0.4199134199134199,0.9455357142857144
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,SVM (RBF),0.5125,0.5299974863046946,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Multi-Head DL (MLP),0.4625,0.391025641025641,0.8857142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Multi-Head DL (TABNET),0.5,0.41666666666666663,0.8348214285714286
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Random Forest,0.975,0.9747474747474747,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,SVM (RBF),0.625,0.5137085137085138,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Multi-Head DL (MLP),0.5375,0.4522604588394062,0.9801785714285715
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Multi-Head DL (TABNET),0.5,0.43597560975609756,0.9258928571428572
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.9365079365079365,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,SVM (RBF),0.7375,0.7350236248834647,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Multi-Head DL (MLP),0.4375,0.38940892217101897,0.8632142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Multi-Head DL (TABNET),0.65,0.6110023554876496,0.9010714285714285
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.9624999999999999,0.9617063492063491,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,SVM (RBF),0.775,0.6881353558340142,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Multi-Head DL (MLP),0.55,0.5219634087754884,0.89375
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Multi-Head DL (TABNET),0.44999999999999996,0.4092760180995475,0.8007142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.9624999999999999,0.9624060150375939,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,SVM (RBF),0.8,0.7949864003572443,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Multi-Head DL (MLP),0.5125,0.46151436283015235,0.8758928571428571
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Multi-Head DL (TABNET),0.625,0.5594080687830688,0.9026785714285714
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.95,0.9498205741626794,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,SVM (RBF),0.7625,0.6151495405179614,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Multi-Head DL (MLP),0.4625,0.45163502489269747,0.864107142857143
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Multi-Head DL (TABNET),0.5875,0.5868505805576744,0.8996428571428572
HUST_Gearbox,Diagnosis,Cond_20_0,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_20_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_0,Multi-Head DL (TABNET),0.9,0.8976982097186701,1.0
HUST_Gearbox,Diagnosis,Cond_20_1,Random Forest,0.9666666666666667,0.9665831244778613,0.0
HUST_Gearbox,Diagnosis,Cond_20_1,SVM (RBF),0.9666666666666667,0.9665831244778613,0.0
HUST_Gearbox,Diagnosis,Cond_20_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_2,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
HUST_Gearbox,Diagnosis,Cond_20_2,Multi-Head DL (MLP),0.9,0.8976982097186701,1.0
HUST_Gearbox,Diagnosis,Cond_20_2,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_3,SVM (RBF),0.6666666666666666,0.6632996632996633,0.0
HUST_Gearbox,Diagnosis,Cond_20_3,Multi-Head DL (MLP),0.6666666666666666,0.5555555555555555,0.9933333333333333
HUST_Gearbox,Diagnosis,Cond_20_3,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_20_4,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_20_4,SVM (RBF),0.43333333333333335,0.4202898550724638,0.0
HUST_Gearbox,Diagnosis,Cond_20_4,Multi-Head DL (MLP),0.3666666666666667,0.3650793650793651,0.6566666666666666
HUST_Gearbox,Diagnosis,Cond_20_4,Multi-Head DL (TABNET),0.3333333333333333,0.3333333333333333,0.6133333333333333
HUST_Gearbox,Diagnosis,Cond_25_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_1,Random Forest,0.9,0.8976982097186701,0.0
HUST_Gearbox,Diagnosis,Cond_25_1,SVM (RBF),0.9666666666666667,0.7368421052631579,0.0
HUST_Gearbox,Diagnosis,Cond_25_1,Multi-Head DL (MLP),0.6666666666666666,0.5986177565124934,0.9466666666666667
HUST_Gearbox,Diagnosis,Cond_25_1,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_25_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_2,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_3,Random Forest,0.9,0.8976982097186701,0.0
HUST_Gearbox,Diagnosis,Cond_25_3,SVM (RBF),0.8333333333333334,0.8222222222222223,0.0
HUST_Gearbox,Diagnosis,Cond_25_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_3,Multi-Head DL (TABNET),0.9666666666666667,0.9665831244778612,1.0
HUST_Gearbox,Diagnosis,Cond_25_4,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_25_4,SVM (RBF),0.7333333333333334,0.6825396825396824,0.0
HUST_Gearbox,Diagnosis,Cond_25_4,Multi-Head DL (MLP),0.7333333333333334,0.6825396825396824,0.9950000000000001
HUST_Gearbox,Diagnosis,Cond_25_4,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_30_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_2,Multi-Head DL (MLP),0.9333333333333332,0.9326599326599326,1.0
HUST_Gearbox,Diagnosis,Cond_30_2,Multi-Head DL (TABNET),0.7666666666666666,0.7340930674264007,1.0
HUST_Gearbox,Diagnosis,Cond_30_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_3,Multi-Head DL (TABNET),0.8333333333333334,0.8222222222222223,1.0
HUST_Gearbox,Diagnosis,Cond_30_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_4,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_4,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_4,Multi-Head DL (TABNET),0.8333333333333334,0.8222222222222223,1.0
HUST_Gearbox,Diagnosis,Cond_35_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_0,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
HUST_Gearbox,Diagnosis,Cond_35_0,Multi-Head DL (MLP),0.9,0.8976982097186701,1.0
HUST_Gearbox,Diagnosis,Cond_35_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_1,Multi-Head DL (TABNET),0.9,0.8976982097186701,1.0
HUST_Gearbox,Diagnosis,Cond_35_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_2,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_3,Multi-Head DL (MLP),0.9333333333333332,0.9326599326599326,1.0
HUST_Gearbox,Diagnosis,Cond_35_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_35_4,SVM (RBF),0.8666666666666667,0.6875,0.0
HUST_Gearbox,Diagnosis,Cond_35_4,Multi-Head DL (MLP),0.6666666666666666,0.5473453749315819,0.9083333333333333
HUST_Gearbox,Diagnosis,Cond_35_4,Multi-Head DL (TABNET),0.7999999999999999,0.7802197802197801,0.8433333333333334
HUST_Gearbox,Diagnosis,Cond_40_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_0,SVM (RBF),0.9333333333333332,0.9326599326599326,0.0
HUST_Gearbox,Diagnosis,Cond_40_0,Multi-Head DL (MLP),0.8333333333333334,0.8174603174603176,1.0
HUST_Gearbox,Diagnosis,Cond_40_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_2,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_40_2,Multi-Head DL (MLP),0.9,0.8976982097186701,1.0
HUST_Gearbox,Diagnosis,Cond_40_2,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_40_4,SVM (RBF),0.9333333333333332,0.7222222222222222,0.0
HUST_Gearbox,Diagnosis,Cond_40_4,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_40_4,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_L0_VS_0_40_0,Random Forest,1.0,1.0,0.0
