Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_0HP,Random Forest,0.6839766081871346,0.6839385412220624,0.9540970760233918
CWRU_12k,Diagnosis,Load_0HP,SVM,0.6442690058479533,0.6379897293181561,0.9132196542079838
CWRU_12k,Diagnosis,Load_0HP,XGBoost,0.6775438596491228,0.6549365217024866,0.9520766590389016
CWRU_12k,Diagnosis,Load_0HP,TabNet,0.6592982456140352,0.5869163957823221,0.9170112636664124
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.7456140350877194,0.744273915101294,0.968830740372945
CWRU_12k,Diagnosis,Load_1HP,SVM,0.7378362573099414,0.7370165993689934,0.9524067780679278
CWRU_12k,Diagnosis,Load_1HP,XGBoost,0.7519298245614034,0.7218074535998332,0.9714388376018078
CWRU_12k,Diagnosis,Load_1HP,TabNet,0.7375438596491228,0.7375090704141094,0.95238716433525
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.7935672514619883,0.7933171096691156,0.9748012308899433
CWRU_12k,Diagnosis,Load_2HP,SVM,0.7630994152046784,0.7604625912635015,0.972380558314024
CWRU_12k,Diagnosis,Load_2HP,XGBoost,0.79,0.7876808487270021,0.9749777953502438
CWRU_12k,Diagnosis,Load_2HP,TabNet,0.7804678362573099,0.7712890655826498,0.9725291988998819
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.6838596491228071,0.6854104378630109,0.955916242679842
CWRU_12k,Diagnosis,Load_3HP,SVM,0.7269005847953217,0.72700641767884,0.9533139402781353
CWRU_12k,Diagnosis,Load_3HP,XGBoost,0.7233333333333334,0.6936214810341947,0.9582704096019224
CWRU_12k,Diagnosis,Load_3HP,TabNet,0.7026315789473685,0.6912751573122391,0.935054905782976
CWRU_48k,Diagnosis,Load_0HP,Random Forest,0.9305555555555555,0.9297937691970163,0.9558080808080808
CWRU_48k,Diagnosis,Load_0HP,SVM,0.9305555555555555,0.9274692031356807,0.985479797979798
CWRU_48k,Diagnosis,Load_0HP,XGBoost,0.8361111111111111,0.8439055012019047,0.9463383838383838
CWRU_48k,Diagnosis,Load_0HP,TabNet,0.875,0.8708204255566706,0.9157512626262626
CWRU_48k,Diagnosis,Load_1HP,Random Forest,0.9833333333333334,0.9829829791243715,0.997514619883041
CWRU_48k,Diagnosis,Load_1HP,SVM,0.9820987654320987,0.9826914080773429,0.9996074290664932
CWRU_48k,Diagnosis,Load_1HP,XGBoost,0.9500000000000001,0.9483102767938526,0.9962286116525884
CWRU_48k,Diagnosis,Load_1HP,TabNet,0.8450617283950618,0.8408301439387635,0.960141867013212
