Dataset,Task,Test Condition,Bal Accuracy,Macro F1,ROC-AUC
PU,Detection,C1_1500rpm_0.7Nm_1000N,0.9991551835775114,0.9986989331251627,0.9999975243474799
PU,Detection,C2_900rpm_0.7Nm_1000N,0.8461245850859296,0.7584333257867331,0.9196362032516615
PU,Detection,C3_1500rpm_0.1Nm_1000N,0.9994797086368366,0.9994794377928162,0.9999980725750329
PU,Detection,C4_1500rpm_0.7Nm_400N,0.9846440399001073,0.9833729216152018,0.9961864245095777
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,0.9993927451535768,0.9993494383459933,0.9999986191151552
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,0.5325916244165511,0.5113031824793681,0.8623757319827864
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,0.9984329325904812,0.996885612131805,0.9999919607155876
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,0.9529672451608789,0.9054977231324383,0.9826110493227033
