Exp Strategy,Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
0_Baseline,UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,TABNET (TL),0.675,0.650760582010582,0.9207142857142858
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_0,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_0,TABNET (TL),0.6666666666666666,0.5555555555555555,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_1,MLP (TL),0.8666666666666667,0.8611111111111112,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_1,TABNET (TL),0.9,0.8976982097186701,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_2,MLP (TL),0.6666666666666666,0.5555555555555555,0.975
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_2,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_3,MLP (TL),0.9333333333333332,0.9326599326599326,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_3,TABNET (TL),0.6666666666666666,0.5555555555555555,0.9233333333333333
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_4,MLP (TL),0.6666666666666666,0.5555555555555555,0.5
0_Baseline,HUST_Gearbox,Diagnosis,Cond_20_4,TABNET (TL),0.3333333333333333,0.3333333333333333,0.6683333333333333
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_0,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_0,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_1,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_1,TABNET (TL),0.6666666666666666,0.5555555555555555,0.9916666666666667
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_2,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_2,TABNET (TL),0.9666666666666667,0.9665831244778612,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_3,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_3,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_4,MLP (TL),0.6666666666666666,0.5555555555555555,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_25_4,TABNET (TL),0.6666666666666666,0.5555555555555555,0.9966666666666667
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_0,MLP (TL),0.5666666666666667,0.5061728395061729,0.6866666666666666
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_0,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_1,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_1,TABNET (TL),0.6666666666666666,0.5555555555555555,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_2,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_2,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_3,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_3,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_4,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_30_4,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_0,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_0,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_1,MLP (TL),0.8333333333333334,0.8222222222222223,0.9933333333333333
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_1,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_2,MLP (TL),0.9,0.8976982097186701,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_2,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_3,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_3,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_4,MLP (TL),0.6666666666666666,0.5341880341880342,0.7766666666666667
0_Baseline,HUST_Gearbox,Diagnosis,Cond_35_4,TABNET (TL),0.8333333333333334,0.8222222222222223,0.8333333333333334
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_0,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_0,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_1,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_1,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_2,MLP (TL),0.6666666666666666,0.5555555555555555,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_2,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_3,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_3,TABNET (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_4,MLP (TL),1.0,1.0,1.0
0_Baseline,HUST_Gearbox,Diagnosis,Cond_40_4,TABNET (TL),0.6666666666666666,0.5555555555555555,1.0
