Test Condition,Model,Bal Accuracy,Macro F1
Load_0HP,CNN 1D (Raw Time),0.31491228070175437,0.27329177618896894
Load_1HP,CNN 1D (Raw Time),0.9046783625730994,0.9049826346609097
Load_2HP,CNN 1D (Raw Time),0.891374269005848,0.8944754307174267
Load_3HP,CNN 1D (Raw Time),0.9310672514619884,0.9306079311751461
