Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
PU,Detection,C3_1500rpm_0.1Nm_1000N,FT-Transformer,0.9924667728942372,0.9895887558563248,0.9994950146586338
PU,Detection,C3_1500rpm_0.1Nm_1000N,TabNet,0.9994797086368366,0.9994794377928162,0.9999980725750329
PU,Detection,C4_1500rpm_0.7Nm_400N,Random Forest,0.9305346306848113,0.8920827029752899,0.9848043009650405
PU,Detection,C4_1500rpm_0.7Nm_400N,SVM (RBF),0.9298139115033159,0.8670842032011135,0.9821320872380594
PU,Detection,C4_1500rpm_0.7Nm_400N,FT-Transformer,0.8783987561827796,0.8061320754716981,0.9337642271561064
PU,Detection,C4_1500rpm_0.7Nm_400N,TabNet,0.9846440399001073,0.9833729216152018,0.9961864245095777
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,Random Forest,0.9987068638616342,0.9985735564501491,0.9999936745209789
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,SVM (RBF),0.9192644586482217,0.9442495582056796,0.9991766139382872
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,FT-Transformer,0.9971373368084439,0.9945090836510962,0.9999394097487496
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,TabNet,0.9993927451535768,0.9993494383459933,0.9999986191151552
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,Random Forest,0.4953624552437807,0.4978248977008552,0.7805191764174345
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,SVM (RBF),0.3713461528629111,0.29931203141330104,0.46550553165166697
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,FT-Transformer,0.3902052850436604,0.27952679129149716,0.4945672133992225
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,TabNet,0.5325916244165511,0.5113031824793681,0.8623757319827864
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,Random Forest,0.9932321068418367,0.9936021963302434,0.9999475252858562
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,SVM (RBF),0.9309436861949388,0.9505932520682068,0.9984518616655097
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,FT-Transformer,0.9915834439154838,0.9935531224861339,0.9993990229458486
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,TabNet,0.9984329325904812,0.996885612131805,0.9999919607155876
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,Random Forest,0.8810125051947734,0.8464834778184692,0.9723515085230825
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,SVM (RBF),0.9083698450034889,0.882891342950178,0.9888793488706166
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,FT-Transformer,0.892841968578681,0.8204690737589612,0.9593597385469629
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,TabNet,0.9529672451608789,0.9054977231324383,0.9826110493227033
UORED,Detection,Group_A,Random Forest,0.96875,0.967741935483871,1.0
UORED,Detection,Group_A,SVM (RBF),0.903125,0.8927335640138409,0.9864062499999999
UORED,Detection,Group_A,FT-Transformer,0.91875,0.8930817610062893,0.98818359375
UORED,Detection,Group_A,TabNet,0.996875,0.9968652037617555,1.0
UORED,Detection,Group_B,Random Forest,0.9,0.8888888888888888,0.99912109375
UORED,Detection,Group_B,SVM (RBF),0.8796875,0.8504983388704319,0.9800390625
UORED,Detection,Group_B,FT-Transformer,0.99375,0.9937106918238994,1.0
UORED,Detection,Group_B,TabNet,0.978125,0.9776357827476039,0.9979882812499999
UORED,Detection,Group_C,Random Forest,0.7703125,0.69164265129683,0.813876953125
UORED,Detection,Group_C,SVM (RBF),0.7078125,0.6201550387596899,0.7853515625
UORED,Detection,Group_C,FT-Transformer,0.6703125,0.583941605839416,0.79130859375
UORED,Detection,Group_C,TabNet,0.865625,0.8391608391608392,0.79634765625
UORED,Detection,Group_D,Random Forest,0.84375,0.7724867724867724,0.911162109375
UORED,Detection,Group_D,SVM (RBF),0.871875,0.7969924812030075,0.92021484375
UORED,Detection,Group_D,FT-Transformer,0.875,0.8,0.9273730468750001
UORED,Detection,Group_D,TabNet,0.928125,0.8795518207282913,0.9881249999999999
UORED,Detection,Group_E,Random Forest,0.9375,0.8888888888888888,1.0
