Dataset,Task,Test Condition,Model,Bal Acc,Macro F1
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Random Forest,0.875,0.8333333333333333
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,SVM,0.725,0.6808473389355743
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,XGBoost,0.85,0.843704850361197
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,TabNet,0.0,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.7749999999999999,0.7664473684210527
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,SVM,0.65,0.633347967821652
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,XGBoost,0.7875,0.7830340557275541
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,TabNet,0.0,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,Random Forest,0.5875,0.4959150326797385
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,SVM,0.6,0.5115684951315916
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,XGBoost,0.4,0.36742424242424243
UOEMD,Diagnosis,Load_Loaded_Speed_60Hz,TabNet,0.0,0.0
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,Random Forest,0.8125,0.8104287546818507
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,SVM,0.65,0.6482447854844038
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,XGBoost,0.7875000000000001,0.7841192032368502
UOEMD,Diagnosis,Load_Loaded_Speed_Inc_30_to_60Hz,TabNet,0.0,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Random Forest,0.575,0.5669071976616733
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,SVM,0.5125,0.4842592592592592
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,XGBoost,0.5625,0.5222089314194577
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,TabNet,0.0,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.6875,0.684234022556391
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,SVM,0.5,0.4963611680716944
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,XGBoost,0.6375,0.6393032212885155
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,TabNet,0.0,0.0
