Model,Bal Acc,F1 (Anomaly),ROC-AUC,Dataset,Test Condition
AE (Média + 2σ),0.75,0.6666666666666666,0.52,HUST_Gearbox,Cond_25_3
AE (Percentil 99),0.75,0.6666666666666666,0.52,HUST_Gearbox,Cond_25_3
AE (Mediana + 3*MAD),0.75,0.6666666666666666,0.52,HUST_Gearbox,Cond_25_3
Isolation Forest,0.75,0.6666666666666666,0.995,HUST_Gearbox,Cond_25_4
One-Class SVM,0.75,0.6666666666666666,0.995,HUST_Gearbox,Cond_25_4
AE (Média + 2σ),0.75,0.6666666666666666,0.9850000000000001,HUST_Gearbox,Cond_25_4
AE (Percentil 99),0.75,0.6666666666666666,0.9850000000000001,HUST_Gearbox,Cond_25_4
AE (Mediana + 3*MAD),0.75,0.6666666666666666,0.9850000000000001,HUST_Gearbox,Cond_25_4
Isolation Forest,0.75,0.6666666666666666,0.99,HUST_Gearbox,Cond_30_0
One-Class SVM,1.0,1.0,1.0,HUST_Gearbox,Cond_30_0
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_0
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_0
AE (Mediana + 3*MAD),1.0,1.0,1.0,HUST_Gearbox,Cond_30_0
Isolation Forest,0.75,0.6666666666666666,0.9750000000000001,HUST_Gearbox,Cond_30_1
One-Class SVM,0.975,0.9743589743589743,1.0,HUST_Gearbox,Cond_30_1
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_1
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_1
AE (Mediana + 3*MAD),0.975,0.9743589743589743,1.0,HUST_Gearbox,Cond_30_1
Isolation Forest,0.75,0.6666666666666666,0.9849999999999999,HUST_Gearbox,Cond_30_2
One-Class SVM,1.0,1.0,1.0,HUST_Gearbox,Cond_30_2
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_2
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_2
AE (Mediana + 3*MAD),0.925,0.918918918918919,1.0,HUST_Gearbox,Cond_30_2
Isolation Forest,0.75,0.6666666666666666,0.97,HUST_Gearbox,Cond_30_3
One-Class SVM,1.0,1.0,1.0,HUST_Gearbox,Cond_30_3
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_3
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_30_3
AE (Mediana + 3*MAD),1.0,1.0,1.0,HUST_Gearbox,Cond_30_3
Isolation Forest,0.75,0.6666666666666666,0.7649999999999999,HUST_Gearbox,Cond_30_4
One-Class SVM,0.5,0.8,0.8049999999999999,HUST_Gearbox,Cond_30_4
AE (Média + 2σ),0.75,0.6666666666666666,0.825,HUST_Gearbox,Cond_30_4
AE (Percentil 99),0.75,0.6666666666666666,0.825,HUST_Gearbox,Cond_30_4
AE (Mediana + 3*MAD),0.5,0.7659574468085106,0.825,HUST_Gearbox,Cond_30_4
Isolation Forest,0.75,0.6666666666666666,0.5,HUST_Gearbox,Cond_35_0
One-Class SVM,0.5,0.8,0.82,HUST_Gearbox,Cond_35_0
AE (Média + 2σ),0.75,0.6666666666666666,0.895,HUST_Gearbox,Cond_35_0
AE (Percentil 99),0.75,0.6666666666666666,0.895,HUST_Gearbox,Cond_35_0
AE (Mediana + 3*MAD),0.8500000000000001,0.8648648648648649,0.895,HUST_Gearbox,Cond_35_0
Isolation Forest,0.75,0.6666666666666666,0.5750000000000001,HUST_Gearbox,Cond_35_1
One-Class SVM,1.0,1.0,1.0,HUST_Gearbox,Cond_35_1
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_35_1
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_35_1
AE (Mediana + 3*MAD),0.975,0.9743589743589743,1.0,HUST_Gearbox,Cond_35_1
Isolation Forest,0.75,0.6666666666666666,0.8899999999999999,HUST_Gearbox,Cond_35_2
One-Class SVM,1.0,1.0,1.0,HUST_Gearbox,Cond_35_2
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_35_2
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_35_2
AE (Mediana + 3*MAD),1.0,1.0,1.0,HUST_Gearbox,Cond_35_2
Isolation Forest,0.75,0.6666666666666666,0.595,HUST_Gearbox,Cond_35_3
One-Class SVM,0.975,0.9743589743589743,1.0,HUST_Gearbox,Cond_35_3
AE (Média + 2σ),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_35_3
AE (Percentil 99),0.75,0.6666666666666666,1.0,HUST_Gearbox,Cond_35_3
AE (Mediana + 3*MAD),0.825,0.7878787878787878,1.0,HUST_Gearbox,Cond_35_3
Isolation Forest,0.5,0.5714285714285714,0.51,HUST_Gearbox,Cond_35_4
