Dataset,Task,Fold,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_1HP,Random Forest,0.714327485380117,0.6980455485648915,0.9647658846919303
CWRU_12k,Diagnosis,Load_1HP,SVM (RBF),0.6223391812865497,0.6211703184565429,0.931601480991087
CWRU_12k,Diagnosis,Load_1HP,TabNet,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_1HP,FT-Transformer,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_1HP,TabNet-ResNet1D,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_2HP,Random Forest,0.7312280701754386,0.7270076489345836,0.962721214870393
CWRU_12k,Diagnosis,Load_2HP,SVM (RBF),0.6397660818713449,0.6385714428986158,0.9276356083546858
CWRU_12k,Diagnosis,Load_2HP,TabNet,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_2HP,FT-Transformer,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_2HP,TabNet-ResNet1D,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_3HP,Random Forest,0.6551461988304094,0.6494460201258231,0.9546374044241748
CWRU_12k,Diagnosis,Load_3HP,SVM (RBF),0.6443859649122807,0.6413166030187306,0.9211733155974027
CWRU_12k,Diagnosis,Load_3HP,TabNet,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_3HP,FT-Transformer,0.0,0.0,0.0
CWRU_12k,Diagnosis,Load_3HP,TabNet-ResNet1D,0.0,0.0,0.0
HUST,Detection,Load_0W,Random Forest,0.6861538461538461,0.46808510638297873,0.923076923076923
HUST,Detection,Load_0W,SVM (RBF),0.5,0.0,0.46283076923076927
HUST,Detection,Load_0W,TabNet,0.0,0.0,0.0
HUST,Detection,Load_0W,FT-Transformer,0.0,0.0,0.0
HUST,Detection,Load_0W,TabNet-ResNet1D,0.0,0.0,0.0
HUST,Detection,Load_200W,Random Forest,0.6850793650793651,0.46808510638297873,0.9206349206349206
HUST,Detection,Load_200W,SVM (RBF),0.5,0.0,0.4637460317460318
HUST,Detection,Load_200W,TabNet,0.0,0.0,0.0
HUST,Detection,Load_200W,FT-Transformer,0.0,0.0,0.0
HUST,Detection,Load_200W,TabNet-ResNet1D,0.0,0.0,0.0
HUST,Detection,Load_400W,Random Forest,0.6762379421221865,0.45652173913043476,0.919614147909968
HUST,Detection,Load_400W,SVM (RBF),0.5,0.0,0.542540192926045
HUST,Detection,Load_400W,TabNet,0.0,0.0,0.0
HUST,Detection,Load_400W,FT-Transformer,0.0,0.0,0.0
HUST,Detection,Load_400W,TabNet-ResNet1D,0.0,0.0,0.0
HUST,Diagnosis,Load_0W,Random Forest,0.6812585034013605,0.6739603455734465,0.941563736110602
HUST,Diagnosis,Load_0W,SVM (RBF),0.6606462585034014,0.670476203757434,0.9542312944118425
HUST,Diagnosis,Load_0W,TabNet,0.0,0.0,0.0
HUST,Diagnosis,Load_0W,FT-Transformer,0.0,0.0,0.0
HUST,Diagnosis,Load_0W,TabNet-ResNet1D,0.0,0.0,0.0
HUST,Diagnosis,Load_200W,Random Forest,0.8524621212121213,0.8512532774325137,0.9785890744128697
HUST,Diagnosis,Load_200W,SVM (RBF),0.7651623376623377,0.7689548521595106,0.9677267709257433
HUST,Diagnosis,Load_200W,TabNet,0.0,0.0,0.0
HUST,Diagnosis,Load_200W,FT-Transformer,0.0,0.0,0.0
HUST,Diagnosis,Load_200W,TabNet-ResNet1D,0.0,0.0,0.0
HUST,Diagnosis,Load_400W,Random Forest,0.8238104838709677,0.8229445647684368,0.977379602328889
HUST,Diagnosis,Load_400W,SVM (RBF),0.7078629032258065,0.7098256886656664,0.9599281476494397
HUST,Diagnosis,Load_400W,TabNet,0.0,0.0,0.0
HUST,Diagnosis,Load_400W,FT-Transformer,0.0,0.0,0.0
HUST,Diagnosis,Load_400W,TabNet-ResNet1D,0.0,0.0,0.0
PU,Detection,C1_1500rpm_0.7Nm_1000N,Random Forest,0.649150168815224,0.4582392776523702,0.8526102414569265
PU,Detection,C1_1500rpm_0.7Nm_1000N,SVM (RBF),0.5,0.0,0.8222887251892778
PU,Detection,C1_1500rpm_0.7Nm_1000N,TabNet,0.0,0.0,0.0
PU,Detection,C1_1500rpm_0.7Nm_1000N,FT-Transformer,0.0,0.0,0.0
PU,Detection,C1_1500rpm_0.7Nm_1000N,TabNet-ResNet1D,0.0,0.0,0.0
PU,Detection,C2_900rpm_0.7Nm_1000N,Random Forest,0.5,0.0,0.8172591264887042
PU,Detection,C2_900rpm_0.7Nm_1000N,SVM (RBF),0.5,0.0,0.6793341431953459
PU,Detection,C2_900rpm_0.7Nm_1000N,TabNet,0.0,0.0,0.0
PU,Detection,C2_900rpm_0.7Nm_1000N,FT-Transformer,0.0,0.0,0.0
PU,Detection,C2_900rpm_0.7Nm_1000N,TabNet-ResNet1D,0.0,0.0,0.0
PU,Detection,C3_1500rpm_0.1Nm_1000N,Random Forest,0.5703886489821098,0.2857142857142857,0.8519432449105491
PU,Detection,C3_1500rpm_0.1Nm_1000N,SVM (RBF),0.5,0.0,0.8413299403660291
PU,Detection,C3_1500rpm_0.1Nm_1000N,TabNet,0.0,0.0,0.0
PU,Detection,C3_1500rpm_0.1Nm_1000N,FT-Transformer,0.0,0.0,0.0
PU,Detection,C3_1500rpm_0.1Nm_1000N,TabNet-ResNet1D,0.0,0.0,0.0
PU,Detection,C4_1500rpm_0.7Nm_400N,Random Forest,0.6196504748378618,0.4049689440993789,0.8473766857326163
PU,Detection,C4_1500rpm_0.7Nm_400N,SVM (RBF),0.5,0.0,0.6064064953576871
PU,Detection,C4_1500rpm_0.7Nm_400N,TabNet,0.0,0.0,0.0
PU,Detection,C4_1500rpm_0.7Nm_400N,FT-Transformer,0.0,0.0,0.0
PU,Detection,C4_1500rpm_0.7Nm_400N,TabNet-ResNet1D,0.0,0.0,0.0
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,Random Forest,0.7455450733752621,0.7421447034040438,0.9262729835453762
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,SVM (RBF),0.718182551201419,0.7294182215232671,0.9261068772630723
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,TabNet,0.0,0.0,0.0
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,FT-Transformer,0.0,0.0,0.0
PU,Diagnosis,C1_1500rpm_0.7Nm_1000N,TabNet-ResNet1D,0.0,0.0,0.0
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,Random Forest,0.271953867235958,0.2040502326524107,0.7847737665316985
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,SVM (RBF),0.49920169072944365,0.5264084180230455,0.7063236003389484
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,TabNet,0.0,0.0,0.0
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,FT-Transformer,0.0,0.0,0.0
PU,Diagnosis,C2_900rpm_0.7Nm_1000N,TabNet-ResNet1D,0.0,0.0,0.0
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,Random Forest,0.6697725498300725,0.6675478884122935,0.9256125704114962
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,SVM (RBF),0.7016904335445945,0.6999461101107504,0.9241767604595895
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,TabNet,0.0,0.0,0.0
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,FT-Transformer,0.0,0.0,0.0
PU,Diagnosis,C3_1500rpm_0.1Nm_1000N,TabNet-ResNet1D,0.0,0.0,0.0
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,Random Forest,0.6775349150235405,0.6545372948259753,0.9145056115631279
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,SVM (RBF),0.6772460395910991,0.6485519390989508,0.9153157199497935
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,TabNet,0.0,0.0,0.0
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,FT-Transformer,0.0,0.0,0.0
PU,Diagnosis,C4_1500rpm_0.7Nm_400N,TabNet-ResNet1D,0.0,0.0,0.0
