Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (TABNET),0.275,0.18253968253968253,0.8360714285714286
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Random Forest,0.7875,0.7336182336182335,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,SVM (RBF),0.65,0.5642857142857143,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Multi-Head DL (MLP),0.5375,0.47395372826407306,0.9539285714285715
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Multi-Head DL (TABNET),0.35000000000000003,0.32051282051282054,0.7707142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,SVM (RBF),0.5125,0.5299974863046946,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Multi-Head DL (MLP),0.5125,0.4226379598662207,0.8667857142857143
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Multi-Head DL (TABNET),0.625,0.5208333333333333,0.895
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Random Forest,0.975,0.9747474747474747,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,SVM (RBF),0.625,0.5137085137085138,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Multi-Head DL (MLP),0.2625,0.2272514071294559,0.6639285714285714
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Multi-Head DL (TABNET),0.5125,0.44582228116710876,0.7691071428571429
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.9365079365079365,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,SVM (RBF),0.7375,0.7350236248834647,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Multi-Head DL (MLP),0.4625,0.3848319646867741,0.7644642857142857
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Multi-Head DL (TABNET),0.525,0.47201359138231447,0.8721428571428571
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.9624999999999999,0.9617063492063491,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,SVM (RBF),0.775,0.6881353558340142,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Multi-Head DL (MLP),0.38749999999999996,0.38480349629730437,0.7782142857142857
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Multi-Head DL (TABNET),0.5625,0.5358289512463741,0.9069642857142857
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.9624999999999999,0.9624060150375939,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,SVM (RBF),0.8,0.7949864003572443,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Multi-Head DL (MLP),0.6375,0.6048095343353963,0.8848214285714286
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Multi-Head DL (TABNET),0.55,0.48739993559072503,0.8205357142857144
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.95,0.9498205741626794,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,SVM (RBF),0.7625,0.6151495405179614,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Multi-Head DL (MLP),0.47500000000000003,0.4322833599149389,0.8594642857142857
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Multi-Head DL (TABNET),0.575,0.5371433391170233,0.8810714285714285
HUST_Gearbox,Diagnosis,Cond_20_0,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_20_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_0,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_20_1,Random Forest,0.9666666666666667,0.9665831244778613,0.0
HUST_Gearbox,Diagnosis,Cond_20_1,SVM (RBF),0.9666666666666667,0.9665831244778613,0.0
HUST_Gearbox,Diagnosis,Cond_20_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_1,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_20_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_2,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
