Target Dataset,Task,Test Condition,Source Combo,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k,Multi-Head DL (TABNET),0.48750000000000004,0.44221611721611725,0.8680357142857142
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k,Multi-Head DL (TABNET),0.6125,0.5681138329695206,0.8885714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox,Multi-Head DL (TABNET),0.6125,0.5304621848739496,0.8942857142857144
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST,Multi-Head DL (TABNET),0.5125,0.4735023041474654,0.8969642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU,Multi-Head DL (TABNET),0.5125,0.42114279398762156,0.8121428571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,UORED,Multi-Head DL (TABNET),0.6125,0.5744047619047619,0.8819642857142856
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Mechanical_Gear,Multi-Head DL (TABNET),0.65,0.6049107142857143,0.7908928571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,Electric_Motor,Multi-Head DL (TABNET),0.6,0.5623993558776168,0.8371428571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k,Multi-Head DL (TABNET),0.5,0.42934782608695654,0.8089285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox,Multi-Head DL (TABNET),0.45,0.3756127450980392,0.8466071428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST,Multi-Head DL (TABNET),0.45,0.4151785714285714,0.8351785714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU,Multi-Head DL (TABNET),0.5625,0.5028409090909091,0.8114285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + UORED,Multi-Head DL (TABNET),0.6125,0.5705463015245624,0.8921428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + Mechanical_Gear,Multi-Head DL (TABNET),0.6499999999999999,0.6381828316610925,0.9048214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + Electric_Motor,Multi-Head DL (TABNET),0.6125,0.558695652173913,0.8103571428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox,Multi-Head DL (TABNET),0.7,0.650375939849624,0.9019642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST,Multi-Head DL (TABNET),0.55,0.45906054729584145,0.8758928571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU,Multi-Head DL (TABNET),0.3625,0.2924406604747162,0.8101785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + UORED,Multi-Head DL (TABNET),0.5125,0.4641333179564064,0.8546428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + Mechanical_Gear,Multi-Head DL (TABNET),0.6125,0.5118045815801777,0.83625
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + Electric_Motor,Multi-Head DL (TABNET),0.625,0.5833333333333333,0.8908928571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + HUST,Multi-Head DL (TABNET),0.525,0.46059782608695654,0.8992857142857142
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + PU,Multi-Head DL (TABNET),0.475,0.4074074074074074,0.8257142857142856
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + UORED,Multi-Head DL (TABNET),0.6625,0.6229946524064172,0.7957142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + Mechanical_Gear,Multi-Head DL (TABNET),0.625,0.5416666666666666,0.8271428571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + Electric_Motor,Multi-Head DL (TABNET),0.6125,0.549968671679198,0.8353571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + PU,Multi-Head DL (TABNET),0.4125,0.2853720724610861,0.7483928571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + UORED,Multi-Head DL (TABNET),0.525,0.48214285714285715,0.8682142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.575,0.554047619047619,0.8785714285714286
