Target Dataset,Task,Test Condition,Source Combo,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + UORED,Multi-Head DL (TABNET),0.4625,0.39839572192513373,0.852857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + Mechanical_Gear,Multi-Head DL (TABNET),0.575,0.5175578812760802,0.8755357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + Electric_Motor,Multi-Head DL (TABNET),0.7125,0.6948470775870157,0.9228571428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + HUST,Multi-Head DL (TABNET),0.375,0.2857142857142857,0.7591071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + PU,Multi-Head DL (TABNET),0.4375,0.3762335526315789,0.6719642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + UORED,Multi-Head DL (TABNET),0.575,0.5322871572871573,0.85375
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + Mechanical_Gear,Multi-Head DL (TABNET),0.625,0.5208333333333333,0.7985714285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST_Gearbox + Electric_Motor,Multi-Head DL (TABNET),0.525,0.48851495726495725,0.8678571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + PU,Multi-Head DL (TABNET),0.375,0.30292275347869435,0.6694642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + UORED,Multi-Head DL (TABNET),0.75,0.7182907170173723,0.9446428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.375,0.29166666666666663,0.70375
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + HUST + Electric_Motor,Multi-Head DL (TABNET),0.4875,0.4285714285714286,0.8726785714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU + UORED,Multi-Head DL (TABNET),0.25,0.161231884057971,0.6598214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.475,0.4027777777777778,0.7725000000000001
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + PU + Electric_Motor,Multi-Head DL (TABNET),0.3375,0.2696078431372549,0.6994642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.4625,0.385042735042735,0.8026785714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + UORED + Electric_Motor,Multi-Head DL (TABNET),0.4625,0.44573643410852715,0.8330357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.4875,0.4125494071146245,0.8123214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + HUST,Multi-Head DL (TABNET),0.5,0.41433189655172414,0.750357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + PU,Multi-Head DL (TABNET),0.3875,0.32338152105593965,0.6407142857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + UORED,Multi-Head DL (TABNET),0.45,0.36594202898550726,0.82375
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + Mechanical_Gear,Multi-Head DL (TABNET),0.525,0.46212121212121215,0.8264285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST_Gearbox + Electric_Motor,Multi-Head DL (TABNET),0.5625,0.5245354239256679,0.75125
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + PU,Multi-Head DL (TABNET),0.1625,0.108712715855573,0.64375
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + UORED,Multi-Head DL (TABNET),0.3875,0.3137108792846498,0.80875
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.48750000000000004,0.4120283510527413,0.7741071428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + HUST + Electric_Motor,Multi-Head DL (TABNET),0.5,0.42708333333333337,0.7433928571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU + UORED,Multi-Head DL (TABNET),0.25,0.15664556962025317,0.7296428571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.4875,0.4174406604747162,0.7960714285714285
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + PU + Electric_Motor,Multi-Head DL (TABNET),0.475,0.402073732718894,0.6851785714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.6625,0.5930200562553505,0.8367857142857144
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + UORED + Electric_Motor,Multi-Head DL (TABNET),0.55,0.4855747322852586,0.7980357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_48k + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.275,0.27666666666666667,0.7748214285714285
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + HUST + PU,Multi-Head DL (TABNET),0.3625,0.29192654192654194,0.7746428571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + HUST + UORED,Multi-Head DL (TABNET),0.41250000000000003,0.41185897435897434,0.7324999999999999
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.375,0.30319148936170215,0.7978571428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + HUST + Electric_Motor,Multi-Head DL (TABNET),0.375,0.3125,0.83125
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + PU + UORED,Multi-Head DL (TABNET),0.375,0.3309210526315789,0.6989285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.5125,0.45319823545629995,0.74375
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + PU + Electric_Motor,Multi-Head DL (TABNET),0.35,0.2718253968253968,0.9141071428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.4,0.37220916568742657,0.8042857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + UORED + Electric_Motor,Multi-Head DL (TABNET),0.6375,0.551521164021164,0.8578571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST_Gearbox + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.6,0.5413093920953962,0.8108928571428572
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + PU + UORED,Multi-Head DL (TABNET),0.3875,0.34625668449197866,0.7639285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.4,0.3193139097744361,0.6323214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + PU + Electric_Motor,Multi-Head DL (TABNET),0.4,0.33477011494252873,0.7669642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.375,0.3333333333333333,0.7544642857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + UORED + Electric_Motor,Multi-Head DL (TABNET),0.4125,0.3574277168494516,0.7828571428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,HUST + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.2625,0.26,0.7608928571428571
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.325,0.2650462962962963,0.7280357142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU + UORED + Electric_Motor,Multi-Head DL (TABNET),0.4,0.33890577507598785,0.7716071428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,PU + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.4625,0.37768416927899684,0.7964285714285715
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,UORED + Mechanical_Gear + Electric_Motor,Multi-Head DL (TABNET),0.2875,0.3076923076923077,0.7748214285714287
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST_Gearbox + HUST,Multi-Head DL (TABNET),0.4625,0.4118039664378337,0.8153571428571429
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST_Gearbox + PU,Multi-Head DL (TABNET),0.375,0.2583333333333333,0.7457142857142858
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST_Gearbox + UORED,Multi-Head DL (TABNET),0.6125,0.5352731104736257,0.8341071428571428
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST_Gearbox + Mechanical_Gear,Multi-Head DL (TABNET),0.6625,0.6062580437580437,0.8217857142857143
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST_Gearbox + Electric_Motor,Multi-Head DL (TABNET),0.5125,0.4754286283891547,0.8010714285714285
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST + PU,Multi-Head DL (TABNET),0.35,0.3583759590792839,0.6569642857142857
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST + UORED,Multi-Head DL (TABNET),0.425,0.43333333333333335,0.7898214285714286
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST + Mechanical_Gear,Multi-Head DL (TABNET),0.5875,0.54375,0.8730357142857142
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + HUST + Electric_Motor,Multi-Head DL (TABNET),0.6125,0.5385737009544008,0.7914285714285714
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + PU + UORED,Multi-Head DL (TABNET),0.35,0.3033390738614619,0.88375
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + PU + Mechanical_Gear,Multi-Head DL (TABNET),0.5,0.3833333333333333,0.74
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + PU + Electric_Motor,Multi-Head DL (TABNET),0.375,0.3027777777777778,0.6369642857142856
UOEMD,Diagnosis,Load_Loaded_Speed_15Hz,CWRU_12k + CWRU_48k + UORED + Mechanical_Gear,Multi-Head DL (TABNET),0.5375,0.4622823984526112,0.8175
