Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
UOEMD,Diagnosis,Load_No_Load_Speed_15Hz,Multi-Head DL (TABNET),0.25,0.16715587044534413,0.7526785714285714
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Random Forest,0.7875,0.7336182336182335,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,SVM (RBF),0.65,0.5642857142857143,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Multi-Head DL (MLP),0.575,0.5646464646464646,0.8891071428571429
UOEMD,Diagnosis,Load_No_Load_Speed_30Hz,Multi-Head DL (TABNET),0.525,0.44494047619047616,0.9269642857142857
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Random Forest,1.0,1.0,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,SVM (RBF),0.5125,0.5299974863046946,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Multi-Head DL (MLP),0.6,0.5755288957688338,0.8985714285714286
UOEMD,Diagnosis,Load_No_Load_Speed_45Hz,Multi-Head DL (TABNET),0.375,0.375,0.9010714285714285
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Random Forest,0.975,0.9747474747474747,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,SVM (RBF),0.625,0.5137085137085138,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Multi-Head DL (MLP),0.2875,0.2502012882447665,0.7485714285714287
UOEMD,Diagnosis,Load_No_Load_Speed_60Hz,Multi-Head DL (TABNET),0.5625,0.5126811594202898,0.8925
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Random Forest,0.9375,0.9365079365079365,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,SVM (RBF),0.7375,0.7350236248834647,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Multi-Head DL (MLP),0.36250000000000004,0.28804347826086957,0.73125
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_45_to_15Hz,Multi-Head DL (TABNET),0.48750000000000004,0.42761690594351887,0.8433928571428572
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Random Forest,0.9624999999999999,0.9617063492063491,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,SVM (RBF),0.775,0.6881353558340142,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Multi-Head DL (MLP),0.4625,0.40455898268398266,0.7980357142857143
UOEMD,Diagnosis,Load_No_Load_Speed_Dec_60_to_30Hz,Multi-Head DL (TABNET),0.6125,0.5684912309912309,0.8812500000000001
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Random Forest,0.9624999999999999,0.9624060150375939,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,SVM (RBF),0.8,0.7949864003572443,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Multi-Head DL (MLP),0.4375,0.3872549019607843,0.8155357142857143
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_15_to_45Hz,Multi-Head DL (TABNET),0.55,0.5187845774914741,0.8964285714285715
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Random Forest,0.95,0.9498205741626794,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,SVM (RBF),0.7625,0.6151495405179614,0.0
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Multi-Head DL (MLP),0.425,0.3616220735785953,0.8241071428571428
UOEMD,Diagnosis,Load_No_Load_Speed_Inc_30_to_60Hz,Multi-Head DL (TABNET),0.625,0.6123220121381886,0.8666071428571429
HUST_Gearbox,Diagnosis,Cond_20_0,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_20_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_0,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,0.9416666666666668
HUST_Gearbox,Diagnosis,Cond_20_1,Random Forest,0.9666666666666667,0.9665831244778613,0.0
HUST_Gearbox,Diagnosis,Cond_20_1,SVM (RBF),0.9666666666666667,0.9665831244778613,0.0
HUST_Gearbox,Diagnosis,Cond_20_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_2,SVM (RBF),0.9666666666666667,0.9665831244778612,0.0
HUST_Gearbox,Diagnosis,Cond_20_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_20_2,Multi-Head DL (TABNET),0.7000000000000001,0.6238244514106583,1.0
HUST_Gearbox,Diagnosis,Cond_20_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_20_3,SVM (RBF),0.6666666666666666,0.6632996632996633,0.0
HUST_Gearbox,Diagnosis,Cond_20_3,Multi-Head DL (MLP),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_20_3,Multi-Head DL (TABNET),0.7666666666666666,0.7340930674264007,1.0
HUST_Gearbox,Diagnosis,Cond_20_4,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_20_4,SVM (RBF),0.43333333333333335,0.4202898550724638,0.0
HUST_Gearbox,Diagnosis,Cond_20_4,Multi-Head DL (MLP),0.5,0.4666666666666666,0.6666666666666666
HUST_Gearbox,Diagnosis,Cond_20_4,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,0.6666666666666666
HUST_Gearbox,Diagnosis,Cond_25_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_0,Multi-Head DL (MLP),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_25_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_1,Random Forest,0.9,0.8976982097186701,0.0
HUST_Gearbox,Diagnosis,Cond_25_1,SVM (RBF),0.9666666666666667,0.7368421052631579,0.0
HUST_Gearbox,Diagnosis,Cond_25_1,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_1,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_25_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_2,Multi-Head DL (TABNET),0.6666666666666666,0.5555555555555555,1.0
HUST_Gearbox,Diagnosis,Cond_25_3,Random Forest,0.9,0.8976982097186701,0.0
HUST_Gearbox,Diagnosis,Cond_25_3,SVM (RBF),0.8333333333333334,0.8222222222222223,0.0
HUST_Gearbox,Diagnosis,Cond_25_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_25_4,Random Forest,0.6666666666666666,0.5555555555555555,0.0
HUST_Gearbox,Diagnosis,Cond_25_4,SVM (RBF),0.7333333333333334,0.6825396825396824,0.0
HUST_Gearbox,Diagnosis,Cond_25_4,Multi-Head DL (MLP),0.6666666666666666,0.5555555555555555,0.9666666666666667
HUST_Gearbox,Diagnosis,Cond_25_4,Multi-Head DL (TABNET),0.9333333333333332,0.9326599326599326,1.0
HUST_Gearbox,Diagnosis,Cond_30_0,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_0,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_0,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_1,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_1,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_1,Multi-Head DL (MLP),0.8666666666666667,0.8611111111111112,0.9733333333333333
HUST_Gearbox,Diagnosis,Cond_30_1,Multi-Head DL (TABNET),0.7000000000000001,0.6238244514106583,1.0
HUST_Gearbox,Diagnosis,Cond_30_2,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_2,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_2,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_2,Multi-Head DL (TABNET),0.9333333333333332,0.9326599326599326,1.0
HUST_Gearbox,Diagnosis,Cond_30_3,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_3,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_3,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_3,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_4,Random Forest,1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_4,SVM (RBF),1.0,1.0,0.0
HUST_Gearbox,Diagnosis,Cond_30_4,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_30_4,Multi-Head DL (TABNET),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_35_0,Random Forest,1.0,1.0,0.0
